Event,TS_max,UL95_Profile_ph_cm2_s,UL95_Package_ph_cm2_s,Ratio,Ontime_s,Status
GRB_231115A,0.02895359071180792,1.034241872098571e-06,1.0398141565157328e-06,0.9946410765979242,1000.0,ok
GRB_180128A,-0.0001060613818708589,6.6200126551395e-07,6.63244361578934e-07,0.9981257344396796,852.3999999761581,ok
GRB_120616A,,,,,,failed
GRB_200423A,0.00037204764652187805,1.8714516855100298e-06,1.8757781032247653e-06,0.997693534375256,381.39999997615814,ok
GRB_231024A,4.2382265519336215e-07,8.025311407789064e-07,8.041850296968303e-07,0.9979433975306065,1000.0,ok
GRB_081213A,-2.2859348177917127e-05,1.6761527306319994e-06,1.6798870682243455e-06,0.9977770305736723,282.0843018293381,ok
STACKED,-3.980348844834225e-05,2.7090836945088405e-07,,,,ok
