GRB,d_Mpc,T90_s,E_gamma_45,L_gamma_47,T0_keV,eta_star,Mb_BP_1e22,Ek_iso_1e46,E_LAT_iso_1e46,Mb_LAT_1e22,T_eff_s
081213A,3.7,0.05,0.42,0.08399999999999998,152.5606308727788,75.72994051277922,2.056927640412191,0.098,0.4504505239685387,66.18172381350296,1000
180128A,3.7,0.1,0.6,0.059999999999999984,140.25245341038953,69.62025453602976,3.1963400980609786,0.13999999999999999,0.13923016195391197,22.251347475640646,1000
200415A,3.7,0.2,14.2,0.7099999999999997,260.1280836991013,129.12560856321912,40.78620544177591,3.313333333333333,,,1000
231024A,3.7,0.048,0.55,0.11458333333333331,164.87432003335368,81.84236245472059,2.492423697112672,0.12833333333333335,0.21130224578887816,28.726621344945066,1000
120616A,2.3,0.05,0.23,0.04599999999999999,131.23875819276543,65.14592456816128,1.3094168442549192,0.05366666666666667,,,1000
200423A,7.7,0.1,8.5,0.8499999999999999,272.09927577916153,135.06801755106616,23.34015519965729,1.9833333333333332,1.4117099679003482,116.29245793304943,1000
231115A,3.5,0.03,1.15,0.38333333333333325,222.98045680830126,110.68580821277918,3.8533924240823363,0.2683333333333333,0.15389919289581852,15.470451755925211,1000
